query_index,query_path,label,total_relevant,search_ms,extract_ms,pca_ms,P@1,R@1,AP@1,P@5,R@5,AP@5,P@10,R@10,AP@10,P@20,R@20,AP@20
393,dataset\Brewer_Blackbird_0096_2634.jpg,dataset,1245,0.767,5844.405,1.049,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
407,dataset\Bronzed_Cowbird_0013_24131.jpg,dataset,1245,0.727,5708.296,0.981,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
429,dataset\Brown_Creeper_0085_24938.jpg,dataset,1245,0.705,5987.389,0.617,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
432,dataset\Brown_Creeper_0104_24698.jpg,dataset,1245,0.637,6016.175,0.810,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
435,dataset\Brown_Pelican_0049_94598.jpg,dataset,1245,0.743,5818.403,0.814,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
440,dataset\Brown_Pelican_0128_94059.jpg,dataset,1245,0.741,5803.261,0.880,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
447,dataset\Field_Sparrow_0035_113479.jpg,dataset,1245,0.773,5760.373,1.143,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
449,dataset\Field_Sparrow_0047_113801.jpg,dataset,1245,0.737,5856.844,0.854,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
451,dataset\Field_Sparrow_0051_114107.jpg,dataset,1245,0.714,5908.024,1.270,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
457,dataset\Field_Sparrow_0104_113524.jpg,dataset,1245,0.883,5885.061,0.782,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
466,dataset\Fish_Crow_0020_26027.jpg,dataset,1245,0.672,5795.698,1.157,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
469,dataset\Fish_Crow_0035_26081.jpg,dataset,1245,0.724,5758.471,0.953,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
476,dataset\Florida_Jay_0013_64706.jpg,dataset,1245,0.799,6202.721,0.840,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
501,dataset\Forsters_Tern_0087_151226.jpg,dataset,1245,0.729,5726.459,0.727,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
505,dataset\Fox_Sparrow_0013_114344.jpg,dataset,1245,0.710,5744.414,1.017,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
538,dataset\Geococcyx_0033_104195.jpg,dataset,1245,0.749,5775.806,0.801,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
541,dataset\Geococcyx_0056_104142.jpg,dataset,1245,0.705,5839.065,0.833,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
542,dataset\Geococcyx_0059_104258.jpg,dataset,1245,0.788,5734.870,0.709,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
546,dataset\Geococcyx_0108_104350.jpg,dataset,1245,0.783,5835.417,0.983,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
548,dataset\Geococcyx_0136_104144.jpg,dataset,1245,0.889,5752.703,0.738,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
552,dataset\Glaucous_Winged_Gull_0013_44381.jpg,dataset,1245,0.762,5850.316,0.872,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
563,dataset\Glaucous_Winged_Gull_0102_44579.jpg,dataset,1245,0.808,5827.099,0.816,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
569,dataset\Glaucous_Winged_Gull_0130_45210.jpg,dataset,1245,0.798,5736.334,0.944,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
592,dataset\Grasshopper_Sparrow_0106_116028.jpg,dataset,1245,0.813,5796.571,1.083,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
600,dataset\Gray_Catbird_0022_19585.jpg,dataset,1245,0.716,5753.093,1.379,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
644,dataset\Gray_Kingbird_0054_70264.jpg,dataset,1245,0.713,5675.325,0.660,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
646,dataset\Gray_Kingbird_0070_70051.jpg,dataset,1245,0.804,5672.858,0.784,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
664,dataset\Great_Crested_Flycatcher_0131_29329.jpg,dataset,1245,0.752,5705.043,1.040,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
689,dataset\Green_Jay_0059_65586.jpg,dataset,1245,0.709,5745.924,0.885,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
696,dataset\Green_Kingfisher_0001_71138.jpg,dataset,1245,0.791,5739.920,0.791,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
704,dataset\Green_Kingfisher_0028_70981.jpg,dataset,1245,0.701,6051.566,1.073,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
727,dataset\Green_Tailed_Towhee_0092_797397.jpg,dataset,1245,0.744,5768.239,0.745,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
735,dataset\Green_Violetear_0072_60858.jpg,dataset,1245,0.664,5739.836,0.695,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
740,dataset\Groove_Billed_Ani_0005_1750.jpg,dataset,1245,1.120,6080.751,1.189,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
741,dataset\Groove_Billed_Ani_0009_1522.jpg,dataset,1245,1.117,8708.147,1.087,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
747,dataset\Groove_Billed_Ani_0107_1590.jpg,dataset,1245,0.953,8009.272,1.294,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
758,dataset\Harris_Sparrow_0085_116534.jpg,dataset,1245,0.708,6478.617,0.859,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
775,dataset\Heermann_Gull_0091_45363.jpg,dataset,1245,0.838,7252.975,0.923,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
777,dataset\Heermann_Gull_0097_45783.jpg,dataset,1245,0.791,7213.662,0.830,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
778,dataset\Heermann_Gull_0109_45619.jpg,dataset,1245,0.810,7161.998,0.801,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
810,dataset\Herring_Gull_0145_46220.jpg,dataset,1245,0.757,7108.932,0.862,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
817,dataset\Hooded_Oriole_0041_90218.jpg,dataset,1245,0.724,7150.540,0.792,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
821,dataset\Hooded_Oriole_0082_90045.jpg,dataset,1245,0.712,7103.244,0.869,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
859,dataset\Red_Eyed_Vireo_0061_157202.jpg,dataset,1245,0.697,7264.321,0.965,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
864,dataset\Red_Legged_Kittiwake_0015_73792.jpg,dataset,1245,0.741,7200.846,0.841,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
865,dataset\Red_Legged_Kittiwake_0020_795439.jpg,dataset,1245,0.852,7475.671,0.831,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
877,dataset\Red_Winged_Blackbird_0089_4188.jpg,dataset,1245,0.693,7100.296,1.386,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
919,dataset\Rufous_Hummingbird_0027_59456.jpg,dataset,1245,0.743,7487.220,0.837,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
928,dataset\Rusty_Blackbird_0094_6582.jpg,dataset,1245,0.684,7097.653,0.842,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
939,dataset\Sage_Thrasher_0036_796444.jpg,dataset,1245,0.785,7098.484,0.874,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
940,dataset\Sage_Thrasher_0038_155498.jpg,dataset,1245,0.778,7149.247,0.906,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
946,dataset\Sage_Thrasher_0062_796462.jpg,dataset,1245,0.758,7442.267,1.008,1.000000,0.000803,1.000000,1.000000,0.004016,1.000000,1.000000,0.008032,1.000000,1.000000,0.016064,1.000000
